sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.13891573675423952,0.11267980737410566,10.0,1.96962193729391,11.96962193729391,1.196962193729391,10.32843946210097,0.4262081862249966,2.3553320587988957,0.25015414447295137
2,Mineria,0.0,0.10202911974240136,-0.0,0.6107529775353434,0.6107529775353434,6.107529775353434e9,0.04200603027482406,0.17945024998170844,-0.07671573621385219,0.664725902653913
3,Industria manufacturera,0.20198866276368369,0.2823842734252001,-0.0,2.1064253899397727,2.1064253899397727,2.1064253899397728e10,0.32055199017338515,1.003224861249858,0.02974192740389772,1.170668248653697
4,Electricidad gas agua y gestion de desechos,0.005081874647092038,0.33372064900528253,0.0,0.37777229970988474,0.37777229970988474,3.7777229970988474e9,0.0020987079544745233,0.5729077405204311,-0.08445331006446578,0.17150125936299945
5,Construccion,0.0006618498703877337,0.10854391091259312,0.0,0.8862847274185454,0.8862847274185454,8.862847274185453e9,0.1618320796052449,0.4144276516804159,-0.08763020493325921,0.10087541731671101
6,Comercio hoteles y restaurantes,0.012844303751409963,0.08441042852410598,0.0,0.5759323558636156,0.5759323558636156,5.759323558636155e9,0.2088768240921849,0.31179179698593956,-0.057126737880815466,0.0855245523855807
7,Transporte comunicaciones y servicios de informacion,0.0,0.16349121658596374,0.0,0.47809859502951363,0.47809859502951363,4.780985950295136e9,0.13127117522637496,0.9284246879815231,-0.08482330372834171,0.34557506354478135
8,Intermediacion financiera,8.573388203017832e-5,0.09682701332741028,0.0,0.18742600199812914,0.18742600199812914,1.8742600199812913e9,0.16263876168850086,0.7832974136513678,-0.08998970686351411,0.17845285172020878
9,Servicios inmobiliarios y de vivienda,0.0,0.014781863793062849,0.0,0.6276075566199556,0.6276075566199556,6.276075566199555e9,0.0011069088867623565,0.3342075680903662,-0.09688563506074332,0.15451230044787004
10,Servicios empresariales,0.0006482281763180639,0.061669567542453944,0.0,0.25250003994047154,0.25250003994047154,2.5250003994047155e9,0.3105265299810713,1.7869432544231574,-0.08387005051662007,0.474000062492515
11,Servicios personales,0.005233392420021947,0.04764892847446154,0.0,0.3311275368156488,0.3311275368156488,3.311275368156488e9,0.4522446869504954,-0.049097585789890645,-0.09398457382207849,0.14501856290884896
12,Administracion publica,0.004668304668304668,0.05912259364749133,0.0,0.19495078463080098,0.19495078463080098,1.9495078463080099e9,0.47628494793495624,1.8510897577810983,-0.09663232867951609,0.002251025386643745
