sector,name,Y_ss,Y_share,L_ss,PH_ss,GDP_ss,TB_ss,Q_ss,C_ss
1,Agropecuario-silvicola y Pesca,0.22899103000675242,0.06556454153532752,0.04750724930394993,0.7664099972570216,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
2,Mineria,0.6801280569441893,0.19473375982257463,0.12581426280170635,0.7741296303505939,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
3,Industria manufacturera,1.0758760560676572,0.3080440328288503,0.1452985286470657,0.7368278966513682,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
4,Electricidad gas agua y gestion de desechos,0.1566982303969391,0.04486572087592026,0.024965256008032947,0.7202365018164376,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
5,Construccion,0.09009726130067654,0.025796580899231182,0.029536222404790632,0.7521881456832089,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
6,Comercio hoteles y restaurantes,0.08082242288545982,0.02314101605684414,0.03229898052833062,0.7513647985185825,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
7,Transporte comunicaciones y servicios de informacion,0.3124773347187241,0.08946827825705705,0.09924735864634723,0.7385431865099612,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
8,Intermediacion financiera,0.16040532563783022,0.04592713363033975,0.06200649779516431,0.7509273165869654,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
9,Servicios inmobiliarios y de vivienda,0.14345043535611382,0.0410726220450181,0.021881800912424886,0.8116669662398768,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
10,Servicios empresariales,0.4190783292252502,0.11999019578292806,0.23683525513105239,0.7322033144379048,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
11,Servicios personales,0.14248334319520675,0.04079572493620816,0.1022100214603052,0.7131637709371249,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
12,Administracion publica,0.0020969366025883323,0.0006003933297007188,0.0015687900311650864,0.70540927301192,0.8321815858790368,0.019068865279378233,0.5424083915459441,0.8131127205996586
