sector,name,Y_ss,Y_share,L_ss,PH_ss,GDP_ss,TB_ss,Q_ss,C_ss
1,Agropecuario-silvicola y Pesca,0.19913840014194872,0.06537644914023247,0.04318176960915343,0.7368941157724578,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
2,Mineria,0.15325546745886132,0.050313240774480954,0.029332194295341573,0.7412457193321509,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
3,Industria manufacturera,0.7623739275241584,0.2502847279233679,0.11511021362129646,0.7451463432865255,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
4,Electricidad gas agua y gestion de desechos,0.16123394086331735,0.05293254604343616,0.029093050618825504,0.7259523865756556,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
5,Construccion,0.1919194599597931,0.06300649600548464,0.06618014139666918,0.7174046894557501,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
6,Comercio hoteles y restaurantes,0.13065539075068122,0.04289371362941754,0.0535103456417631,0.6930138848595431,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
7,Transporte comunicaciones y servicios de informacion,0.3167380855847157,0.1039840197985088,0.10669223668482661,0.7006025470450636,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
8,Intermediacion financiera,0.24211814122284947,0.07948654972772817,0.09459231072122694,0.680328099099796,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
9,Servicios inmobiliarios y de vivienda,0.19948888411511517,0.06549151181839925,0.029866325801127493,0.7576719344757766,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
10,Servicios empresariales,0.4110825185073448,0.13495697135498289,0.234749274079575,0.6490303091672007,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
11,Servicios personales,0.20974401253259697,0.06885823506682422,0.15331080913290238,0.624557830346159,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
12,Administracion publica,0.06827832617332458,0.022415538717136925,0.05226035061186035,0.6151180707381884,0.7252980160715452,0.016619702226719546,0.629845763012334,0.7086783138448257
