sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.1635,0.11267980737410566,0.1755913596636833,0.5040313639667203,0.6796227236304037,3.870479304517662,0.2741210689273157,0.3087967779414896,0.12691680348687231,0.22899103000675242
2,Mineria,0.2164,0.10202911974240136,0.2104363135051029,0.47159932895292683,0.6820356424580297,3.241054887808092,0.2957885395478126,-0.006844786620627453,0.09275724324801199,0.6801280569441893
3,Industria manufacturera,0.189,0.2823842734252001,0.5086764120199131,0.46933427233582303,0.9780106843557361,1.922657825772055,0.56051519324703,0.1407047704346189,0.20302977692335455,1.0758760560676572
4,Electricidad gas agua y gestion de desechos,0.0871,0.33372064900528253,0.27703875278226364,0.3204667260097789,0.5975054787920425,2.1567577560589406,0.25181382542421155,0.2877844016208721,0.0685135887488756,0.1566982303969391
5,Construccion,0.0417,0.10854391091259312,0.043140066406151964,0.4564998312892545,0.49963989769540645,11.581806411502315,0.1307282565738491,0.038608967571256286,0.039529235314709685,0.09009726130067654
6,Comercio hoteles y restaurantes,0.0793,0.08441042852410598,0.06379822284154178,0.3678121520378867,0.4316103748794285,6.765241344597271,0.1471077098989624,0.03607074362181442,0.05712324080185559,0.08082242288545982
7,Transporte comunicaciones y servicios de informacion,0.3734,0.16349121658596374,0.5818459664864736,0.42176157183202057,1.0036075383184941,1.7248680855843408,0.6852049104493547,0.3345354554551608,0.10859659521988588,0.3124773347187241
8,Intermediacion financiera,0.0043,0.09682701332741028,0.003968298021565033,0.1733095370432991,0.17727783506486414,44.67351849621128,0.043582304429466985,0.1252348440065088,0.024893486472565445,0.16040532563783022
9,Servicios inmobiliarios y de vivienda,0.0449,0.014781863793062849,0.006325790810859775,0.3867248300327092,0.39305062084356895,62.13462199363295,0.054649388558089755,0.016502276044311523,0.030220406422326502,0.14345043535611382
10,Servicios empresariales,0.0633,0.061669567542453944,0.03720607882396314,0.1971935128583463,0.23439959168230942,6.300034808595331,0.12301501608705964,0.41337881407930865,0.030165154297358568,0.4190783292252502
11,Servicios personales,0.0391,0.04764892847446154,0.0177569832469028,0.17558218430912967,0.19333916755603248,10.888063860157946,0.13220208613921489,-0.1347195818176261,0.029516583851672256,0.14248334319520675
12,Administracion publica,0.0447,0.05912259364749133,0.02518838308875075,0.13787480560065313,0.1630631886894039,6.473745778554109,0.13224274415795256,0.15739144859394782,0.02887574573734965,0.0020969366025883323
