c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0e-324,0.0,0.0,0.0,-3.6407019408833246e-10,2.5980016525988255e-10,1.7337674528169705e-9,9.922302749391406e-9,-2.695424382377888e-10,9.568628551153161e-12,1.1331194515663632e-9,3.5240889330027237e-11,5.7554348039284837e-11,1.1041210034270939e-9,-1.1659097058741638e-10,2.561271571631136e-11,9.91779916408019e-14,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-6.064344724718401e-18,7.759067868944069e-18,7.661141585412139e-17,1.1333671517192103e-16,6.484484796671929e-18,1.319168666926773e-17,8.624679775611125e-18,6.545553159435482e-19,5.3963504202752066e-18,1.9471645472559358e-17,4.931364004252258e-17,5.616692717793831e-19,2.877335657779115e-20,-0.0
1.167264787e-315,-0.0,-0.0,-0.0,0.00018614608151673267,-0.0009939050707502843,-0.013578150765865613,-0.008992254084290975,-0.0006180945066548197,-0.001932213327188749,-0.001159956437019491,-9.727149039535601e-5,-0.0009453995623718287,-0.0031181938275763963,-0.009465705639177212,-0.0001080393802646644,-5.488036139764543e-6,-0.0
-1.1e-321,-0.0,-0.0,-0.0,-0.0007819471718593273,0.0007338869495255788,0.0034723620276998764,0.010737076163287295,0.00031056933688839637,0.0003063013479025069,0.0008226072378081213,2.538590775042424e-5,0.00018820640379068658,0.0007236697160133445,0.0012573947800781752,1.6923796069305623e-5,6.976332944044805e-7,-0.0
-3.20152e-317,-0.0,-0.0,-0.0,-0.00020385158198961162,0.0003250355184928619,0.0012744932404866707,0.005355410550526815,0.00021351793577550676,0.00024323704719040741,0.0004169462200400322,1.5762679458469783e-5,0.0001098660957511395,0.0004533371695912214,0.0007001571535864804,9.427329435978063e-6,4.032577750894377e-7,-0.0
-2.3088153e-316,-0.0,-0.0,-0.0,-0.00022882046631230306,0.0003415725516879139,0.0013024449294213648,0.004984410667095066,0.00024170772493681145,0.000253306076615902,0.0005309608439873399,1.6866131405751844e-5,0.00012446033379018994,0.0005043795857928322,0.0007504347658238986,1.079915038243459e-5,4.4298625828016234e-7,-0.0
3.00398923e-316,-0.0,-0.0,-0.0,-7.658870434002504e-5,0.00024126786279464476,0.0006522775129591193,0.0032965827040515637,0.0001518935406530713,0.00011362585029974676,3.606509786634409e-5,5.615115096913481e-6,3.7100399951993664e-5,0.00014729232000401326,0.00031054441711311873,3.2457854206989453e-6,1.659189275948907e-7,-0.0
-4.19562775e-316,-0.0,-0.0,-0.0,-0.0001522340054200673,0.00010030642335464394,0.0006501658095158602,0.0016878147177837857,8.981439867968776e-5,0.0001396802754931503,0.0004948944463210668,1.1251002392571563e-5,8.735915435134568e-5,0.00035708695574480345,0.00043988797413369523,7.553405212957503e-6,2.770672246076225e-7,-0.0
-1.937e-321,-0.0,-0.0,-0.0,0.0019237101166969287,-0.008404538058747357,-0.106213919770214,-0.10621988868306492,-0.005280282522182288,-0.012619420293962859,-0.007231453628099219,-0.0005713392732385208,-0.004726538431511556,-0.027457389657331042,-0.035028631549210786,-0.00032572125207885606,-1.4971631348339959e-5,-0.0
4.87828217e-315,-0.0,-0.0,-0.0,-6.988578787125498e-5,0.0002051945541726611,0.0006377876695327886,0.003356892337303451,0.00011922089570361104,0.00011133746299310805,3.082375718124026e-5,5.433040905868637e-6,3.55161371359644e-5,0.0001416725811572746,0.00029812979273754635,3.101098456885375e-6,1.5952730251049303e-7,-0.0
-5.830725467e-315,-0.0,-0.0,-0.0,-0.00015304505275719443,9.98563143915778e-5,0.0006480312274509655,0.0016822170401479247,8.954262985530588e-5,0.00013964302418402076,0.00048543182225223536,1.1789545740113726e-5,8.579159626856612e-5,0.00036149150439026943,0.0004363415890184001,7.278996024051791e-6,2.700400558282975e-7,-0.0
-8.21442005e-315,-0.0,-0.0,-0.0,-8.335093289870064e-5,-0.0001599821502219429,-0.00010626466284632622,-0.0025609175988973577,-5.644754984238891e-5,1.2155086639556902e-5,0.0005207075048617851,6.354269200106491e-6,5.163912414001536e-5,0.0002283013111075766,0.00010482793387148224,4.2634275904833204e-6,9.84222963527913e-8,-0.0
5.835799556e-315,-0.0,-0.0,-0.0,7.185590063365162e-5,0.00013792244734677511,9.16102537892727e-5,0.0022077717093136363,4.866382297554939e-5,-1.0478933545599376e-5,-0.00044890534797840367,-5.478058329351515e-6,-4.451883750606095e-5,-0.0001968199244614207,-9.037435823135006e-5,-3.6754982266718377e-6,-8.485054604798925e-8,-0.0
5.8217624e-316,-0.0,-0.0,-0.0,0.000747442623222653,-0.002246148787175443,-0.02344990944237567,-0.025840488992901083,-0.001422862352120145,-0.003478403281451905,-0.002707362402756983,-0.00018314924142973004,-0.0016810219990901504,-0.005752387299141395,-0.015917166286456952,-0.00018495655310419445,-9.22234578446304e-6,-0.0
2.67054853e-316,-0.0,-0.0,-0.0,-4.248737953167239e-5,-0.00021361162315805575,-0.00044051730665929797,-0.003330221992906689,-8.213505297660085e-5,-5.648583061964241e-5,-0.0003014757267921843,-5.675036526880395e-6,-4.110387561270968e-5,-0.00016105418936309453,-0.0002463020916268681,-3.6754467977848085e-6,-1.5052964600466217e-7,-0.0
-1.2436734334e-314,-0.0,-0.0,-0.0,-0.00011175998841271514,-0.0003465741595788008,-0.0005288342506149629,-0.005458611696200454,-0.00012904896702858645,-4.6383680081373554e-5,0.0001312867951852318,-3.9396556137324207e-7,1.8138091585619395e-6,2.8688123165823376e-5,-0.00015917873100869908,-1.3209989084583368e-7,-6.873059267906055e-8,-0.0
1.32773904e-314,0.0,0.0,0.0,4.93368135389841e-5,-3.735709588513673e-5,-0.0003234472929642727,-0.0005088745703173887,-1.9946578296480535e-5,-6.987697225721435e-5,-0.0008751386947963225,-1.2675539315405653e-5,-9.799544050949113e-5,-0.00041257333236934896,-0.00036179358150053865,-8.372403829519356e-6,-2.5896118877851487e-7,0.0
5.3861745583e-314,0.0,0.0,0.0,-2.7621238562539266e-5,-0.00013884528351742115,-0.00028633545616100743,-0.0021646481786092206,-5.338763220217893e-5,-3.671578456622969e-5,-0.00019595553351154624,-3.688787537550401e-6,-2.6717735683598542e-5,-0.00010468353013005521,-0.00016009569430023259,-2.388995143938485e-6,-9.784210015049461e-8,0.0
2.68e-321,-0.0,-0.0,-0.0,3.2906858175736765e-9,-2.997587917421153e-9,6.81777659590337e-9,6.950781913707618e-8,-1.8031957195442704e-11,1.984304893702691e-10,5.688254953883104e-9,8.597684203213037e-11,2.5580737643325126e-9,2.9481599379300657e-9,1.0165312797018031e-8,-7.133807783871025e-11,1.6646564363276773e-12,-0.0
-3.6e-321,0.0,0.0,0.0,4.749938465778217e-11,1.0756581316618286e-10,-8.640330767988032e-11,7.043303389010566e-10,4.605108253860482e-11,1.7443323023458327e-11,1.349971568655477e-9,8.428942313378899e-12,1.9809488670446343e-10,-4.466882384536231e-11,-3.5249086056684795e-10,-1.3140888974885214e-12,2.6722655179603094e-13,0.0
-3.6672445285e-314,0.0,0.0,0.0,3.2065925289624095e-9,-1.8007559563362546e-9,-6.04493802274646e-10,-2.2764759309326613e-9,-2.30170941110268e-10,-4.0048475579402097e-11,-2.5789024531737508e-9,9.67610822995016e-12,1.730716372663566e-10,-1.3276540809852193e-9,-9.457848967734988e-10,-3.2218479136020256e-11,-1.7117454463266998e-12,0.0
-3.03e-321,-0.0,-0.0,-0.0,0.0011417719168252938,-0.00766973670607767,-0.1027370880685336,-0.09548460500212676,-0.004970016404998988,-0.012312960722569637,-0.006408603374542592,-0.0005459487153660497,-0.004538245204935417,-0.026733095758972824,-0.0337711954341172,-0.00030879175268807614,-1.4273858333725742e-5,-0.0
-8.05e-322,-0.0,-0.0,-0.0,-0.0003613274517817688,0.0002467620759377222,0.00022220478509348904,0.003489251329662087,7.493991884116958e-5,4.104672481923878e-5,0.00038613860638674177,6.857961206641924e-6,5.9083809670920875e-5,0.00022935708982670575,0.0003302926222974767,5.467351123958978e-6,1.966664976651477e-7,-0.0
-3.1e-322,-0.0,-0.0,-0.0,-7.525854557038549e-8,-6.0654417218839446e-6,-6.292483210012438e-5,-0.0001192606591060127,-6.823289060051066e-6,-9.072246547768259e-6,-4.562358333627489e-6,-4.663587865135149e-7,-2.820951495275263e-6,-1.1793934661591552e-5,-2.1852836361594056e-5,-2.249980406311347e-7,-1.1215600671444118e-8,-0.0
