variable,shock,period,value
GDP_f,eps_om,1,0.0
TB_f,eps_om,1,-0.0
M_f,eps_om,1,-0.0
r_star_f,eps_om,1,0.0
pi_e_f,eps_om,1,0.0
Q_f,eps_om,1,0.0
Bstar_f,eps_om,1,0.0
PX_f,eps_om,1,0.0
X_f,eps_om,1,0.0
IMP_f,eps_om,1,0.0
V_f,eps_om,1,0.0
Y_g_f,eps_om,1,-0.0
Y_s_f,eps_om,1,-0.0
P_f_1,eps_om,1,0.0
PM_f_1,eps_om,1,0.0
PH_f_1,eps_om,1,0.0
Cg_f_1,eps_om,1,-0.0
CHg_f_1,eps_om,1,-0.0
CFg_f_1,eps_om,1,-0.0
L_f_1,eps_om,1,0.0
Y_f_1,eps_om,1,0.0
M_f_1,eps_om,1,0.0
V_f_1,eps_om,1,0.0
MC_f_1,eps_om,1,-0.0
PL_f_1,eps_om,1,-0.0
P_f_2,eps_om,1,-0.0
PM_f_2,eps_om,1,0.0
PH_f_2,eps_om,1,0.0
Cg_f_2,eps_om,1,-0.0
CHg_f_2,eps_om,1,0.0
L_f_2,eps_om,1,0.0
Y_f_2,eps_om,1,-0.0
M_f_2,eps_om,1,-0.0
V_f_2,eps_om,1,0.0
MC_f_2,eps_om,1,-0.0
PL_f_2,eps_om,1,0.0
P_f_3,eps_om,1,0.0
PM_f_3,eps_om,1,0.0
PH_f_3,eps_om,1,-0.0
Cg_f_3,eps_om,1,0.0
CHg_f_3,eps_om,1,-0.0
CFg_f_3,eps_om,1,0.0
L_f_3,eps_om,1,-0.0
Y_f_3,eps_om,1,0.0
M_f_3,eps_om,1,0.0
V_f_3,eps_om,1,0.0
MC_f_3,eps_om,1,0.0
PL_f_3,eps_om,1,-0.0
P_f_4,eps_om,1,0.0
PM_f_4,eps_om,1,0.0
PH_f_4,eps_om,1,-0.0
Cg_f_4,eps_om,1,-0.0
CHg_f_4,eps_om,1,-0.0
CFg_f_4,eps_om,1,-0.0
L_f_4,eps_om,1,-0.0
Y_f_4,eps_om,1,-0.0
M_f_4,eps_om,1,-0.0
V_f_4,eps_om,1,-0.0
MC_f_4,eps_om,1,-0.0
PL_f_4,eps_om,1,0.0
P_f_5,eps_om,1,-0.0
PM_f_5,eps_om,1,-0.0
PH_f_5,eps_om,1,0.0
Cg_f_5,eps_om,1,-0.0
CHg_f_5,eps_om,1,-0.0
L_f_5,eps_om,1,0.0
Y_f_5,eps_om,1,-0.0
M_f_5,eps_om,1,0.0
V_f_5,eps_om,1,0.0
MC_f_5,eps_om,1,0.0
PL_f_5,eps_om,1,0.0
P_f_6,eps_om,1,0.0
PM_f_6,eps_om,1,-0.0
PH_f_6,eps_om,1,-0.0
Cs_f_6,eps_om,1,-0.0
CHs_f_6,eps_om,1,0.0
CFs_f_6,eps_om,1,0.0
L_f_6,eps_om,1,-0.0
Y_f_6,eps_om,1,-0.0
M_f_6,eps_om,1,-0.0
V_f_6,eps_om,1,-0.0
MC_f_6,eps_om,1,-0.0
PL_f_6,eps_om,1,-0.0
P_f_7,eps_om,1,-0.0
