param,theta,moment,data,model,diff
cl (FGI hiring c),11.586066163621837,std(Y_1),0.028345145414833572,0.028726540280440246,-0.0003813948656066733
epsY,0.8,std(Y_2),0.04020199541926607,0.03902197066771256,0.0011800247515535087
epsM,0.5,std(Y_3),0.017283352572706294,0.02349801868368672,-0.006214666110980427
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.06350418533370786,-0.009770208261393638
rho_om,0.8969063778499464,std(Y_5),0.028890735191104227,0.053963207072031234,-0.025072471880927007
rho_A,0.9773679175135171,std(Y_6),0.03136053143561935,0.037067840502572856,-0.005707309066953506
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.03673342782947327,-0.009717088839610238
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.043801691933877826,-0.016018927613233043
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.022319115150373024,-0.014214448126186972
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.054286742166514794,-0.028831464257821914
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.04200472819475453,-0.005391633210540481
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.06754492527382418,-0.05933585759710213
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.033407956589412646,0.08359880345707749
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.1511980543989224,-0.019520756704545533
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.017731798051611767,0.032355197865818794
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.04296974269593085,0.05066171923920167
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.020052264786784377,-0.011203432413712739
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.025952021691046358,0.0013025928661698806
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.01590660422244698,0.021858753702836953
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.02425403021507323,0.032483073729254006
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.011694192568281418,0.007240924988928626
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.022028888287100788,-0.006344978647647145
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.017349428672169275,0.00943117662106182
sigma_om_6,0.012493613865721237,std(PH_12),0.014597854455920363,0.038742925645617585,-0.02414507118969722
sigma_om_7,0.01624509455057309,std(L_1),0.025215348716401673,0.012933177852167126,0.012282170864234547
sigma_om_8,0.01393189906906118,std(L_2),0.014639932184480585,0.03652876748175082,-0.02188883529727024
sigma_om_9,0.002785230738449193,std(L_3),0.015173648057538795,0.009911569962758117,0.005262078094780678
sigma_om_10,0.00974038599244317,std(L_4),0.017010230287348153,0.031905361758511296,-0.014895131471163142
sigma_om_11,0.012774611212567847,std(L_5),0.029131515374445645,0.022302895476992303,0.006828619897453342
sigma_om_12,0.006017608204021737,std(L_6),0.018884581712699723,0.014337029580235873,0.0045475521324638505
rho_pvstar,0.6950002620072055,std(L_7),0.014279339751893593,0.01708119397972128,-0.0028018542278276885
sigma_pvstar,0.05440363817808442,std(L_8),0.012286204371456708,0.02383153875793064,-0.011545334386473934
rho_zeta,0.9232979381606605,std(L_9),0.018620746655727674,0.01631437820781845,0.002306368447909223
sigma_zeta,0.00012503769298265833,std(L_10),0.01647871562808028,0.021741868168396804,-0.005263152540316524
etastar,1.0,std(L_11),0.009246236232916035,0.02736581593026749,-0.018119579697351455
kappaw,1217.281825411611,std(L_12),0.02783827138656764,0.055125356724200575,-0.027287085337632935
lambda_A (TFP scale),0.8043572485108164,std(GDP),0.0148127156930972,0.014771401838359104,4.131385473809569e-5
lambda_om (demand scale),2.3829733219784357,std(pi),0.0135107253544962,0.00769886561366111,0.005811859740835089
,NaN,"corr(GDP,pi)",-0.3590224746741133,-0.02481900366262533,-0.33420347101148795
,NaN,std(TB/GDP),0.0335056147765148,0.020120285746045758,0.013385329030469042
,NaN,std(Q),0.0428887557486077,0.031227510672961038,0.01166124507564666
,NaN,autocorr(Q),0.7167583941628564,0.341543139526299,0.37521525463655736
,NaN,"corr(GDP,Q)",0.0289037003942152,0.09768712350858183,-0.06878342311436664
,NaN,rank corr: output (model vs data),1.0,0.26573426573426573,0.7342657342657343
,NaN,rank corr: prices (model vs data),1.0,0.45454545454545453,0.5454545454545454
,NaN,rank corr: labor  (model vs data),1.0,-0.11888111888111888,1.118881118881119
,NaN,"corr(Y_1,PH_1)",-0.2515475307484355,-0.6312083944482787,0.3796608636998432
,NaN,"corr(Y_2,PH_2)",-0.16331741328650493,-0.05730218858251085,-0.10601522470399408
,NaN,"corr(Y_3,PH_3)",-0.254050006484288,-0.5307232416715361,0.27667323518724807
,NaN,"corr(Y_4,PH_4)",0.028937486301534178,-0.2613077735139586,0.2902452598154928
,NaN,"corr(Y_5,PH_5)",0.07993160013969375,-0.3611261481390933,0.441057748278787
,NaN,"corr(Y_6,PH_6)",-0.3665991207351419,-0.5718938826566106,0.20529476192146867
,NaN,"corr(Y_7,PH_7)",0.1022857616220652,-0.24977771969971646,0.35206348132178167
,NaN,"corr(Y_8,PH_8)",-0.46083741921001237,-0.23153622927297265,-0.2293011899370397
,NaN,"corr(Y_9,PH_9)",-0.3997245410253328,-0.018159392392353448,-0.38156514863297936
,NaN,"corr(Y_10,PH_10)",-0.536777293059107,-0.2588455043164327,-0.2779317887426743
,NaN,"corr(Y_11,PH_11)",-0.7112661088012642,-0.23607339569004457,-0.4751927131112196
,NaN,"corr(Y_12,PH_12)",0.03903402880364255,-0.6012865144395743,0.6403205432432169
,NaN,"corr(N,GDP)",0.6659530668873902,0.5505590868778035,0.11539398000958667
,NaN,"corr(N,GDP/N)",-0.3272611556634201,-0.35049437855767984,0.02323322289425972
,NaN,std(omG) goods expenditure share,0.01718399863771128,0.009174730717164587,0.008009267920546691
,NaN,std(pi_g - pi_s),0.015400636759211923,0.018180705342238306,-0.0027800685830263825
,NaN,"corr(pi_g - pi_s, om_g)",0.3758000436442269,0.07497121854301632,0.3008288251012106
,NaN,autocorr(GDP),0.73082110396799,0.4848711094441835,0.24594999452380656
,NaN,autocorr(pi),0.0976867153195819,-0.06792082741856421,0.1656075427381461
,NaN,autocorr(Y_1),0.10687011887112151,0.4847319375306605,-0.377861818659539
,NaN,autocorr(Y_2),0.361685373171192,0.428708489394429,-0.06702311622323703
,NaN,autocorr(Y_3),0.5938307693600892,0.4063117020392447,0.18751906732084445
,NaN,autocorr(Y_4),0.20959379462458555,0.3601862780920808,-0.15059248346749526
,NaN,autocorr(Y_5),0.6305041342029053,0.10967084095486593,0.5208332932480394
,NaN,autocorr(Y_6),0.6595565270498673,0.39829958536819265,0.2612569416816747
,NaN,autocorr(Y_7),0.31064868607674534,0.1665088742513282,0.14413981182541713
,NaN,autocorr(Y_8),0.8943442822082346,0.22963743529481073,0.6647068469134239
,NaN,autocorr(Y_9),0.5934152228969876,0.22704832278142573,0.36636690011556183
,NaN,autocorr(Y_10),0.8222255199489485,0.12836994386540185,0.6938555760835468
,NaN,autocorr(Y_11),0.5319305891775714,0.3880815772493209,0.1438490119282505
