sector,name,VA_direct,fwd_links,bwd_links,VAE,fwd_links_adj,bwd_links_adj,VAE_adj,share_VA_direct,share_VAE,share_VAE_adj,vae_multiplier,vae_multiplier_adj
1,Agropecuario-silvicola y Pesca,0.04871017419337264,0.022274448590721092,0.013185685460926012,0.08417030824501974,0.016491299179465804,0.011244566854261633,0.07644604022710007,0.04494336299904369,0.07766132599279457,0.07053438409246156,1.7279820825701686,1.5694060120503754
2,Mineria,0.12566127140335792,0.00698374597566543,0.021264345338826617,0.15390936271784997,0.005316862369067212,0.01884386311258957,0.14982199688501469,0.11594374746397158,0.1420073828953982,0.13823609754532448,1.2247955237045072,1.1922686696691431
3,Industria manufacturera,0.10049179765187824,0.09129836188556904,0.05392878296901216,0.24571894250645943,0.07773199419619654,0.04924364418896261,0.2274674360370374,0.09272065672286804,0.22671722718477752,0.20987712972837727,2.445164165115986,2.2635423124285796
4,Electricidad gas agua y gestion de desechos,0.03836393719537881,0.03938754887132198,0.007868076533478516,0.0856195626001793,0.03418806935963087,0.007160638224738446,0.07971264477974813,0.03539721185556783,0.07899850791916804,0.07354837853233291,2.231772045818403,2.077801461664108
5,Construccion,0.016123348913056106,0.11815858284048546,0.004935916525973701,0.13921784827951525,0.11172010843261983,0.004296666412589665,0.1321401237582656,0.014876512657971753,0.12845197938182165,0.12192158306045035,8.634549126874111,8.195575526574586
6,Comercio hoteles y restaurantes,0.14194527678324312,0.07241125342221665,0.04978694617358718,0.26414347637904695,0.05956615842920162,0.04498615098204054,0.24649758619448528,0.13096849284798903,0.2437169716454849,0.22743565750241374,1.8608824637568324,1.7365677237073431
7,Transporte comunicaciones y servicios de informacion,0.10855475314283743,0.08464766489311971,0.023192289659218518,0.21639470769517566,0.07256396103286847,0.021220307854709516,0.20233902203041543,0.10016009502248749,0.19966066761345017,0.1866919235370284,1.993415317433787,1.863935167944012
8,Intermediacion financiera,0.0719231674349396,0.052517964291778546,0.018159827547246148,0.1426009592739643,0.046371673667446656,0.016983146074088934,0.13527798717647518,0.06636127001387912,0.13157347069256853,0.12481679205900904,1.9826846391735815,1.8808680429549383
9,Servicios inmobiliarios y de vivienda,0.18420513051917195,0.03775957313804786,0.02004766044706091,0.24201236410428073,0.03193100834531003,0.01813739736384835,0.2342735362283303,0.16996034574509394,0.22329728255571074,0.21615690672713733,1.313819888849905,1.2718078783584548
10,Servicios empresariales,0.09954043388393999,0.1355455464291454,0.00939326062213303,0.24447924093521842,0.1153165597097834,0.008453680264351044,0.22331067385807443,0.0918428629585336,0.22557339309571056,0.2060418145277339,2.45607971952655,2.24341672167559
11,Servicios personales,0.1448043192075333,0.0046548685079640115,0.01798143640420421,0.16744062411970154,0.003942888085324083,0.016354375421198598,0.165101582714056,0.13360644238589117,0.15449225701233588,0.15233409624398406,1.1563234096610469,1.1401702906211844
12,Administracion publica,0.0034887913914092303,0.003396967293020676,0.0004594700396744593,0.0073452287241043655,0.0028384101314426475,0.0004137970319657628,0.00674099855481764,0.003218999326702823,0.006777214130828136,0.0062197097432350875,2.1053791700447304,1.9321873389783686
