sector,name,VA_net,VA_mdl,share_GDP_net,share_VA_net,share_GDP_mdl,share_VA_mdl
1,Agropecuario-silvicola y Pesca,0.0488225058313588,0.07300315384770309,0.07017239440639846,0.050638671952789205,0.1049271441004492,0.049263683518659
2,Mineria,0.12149303866535355,0.1835064727031755,0.17462146364026007,0.12601250232368802,0.26375312695202224,0.12383307183870533
3,Industria manufacturera,0.15288260721146552,0.4298888776877884,0.2197375662809742,0.15856974282741487,0.6178775825278425,0.29009581781608246
4,Electricidad gas agua y gestion de desechos,0.027907933891127883,0.0765647244014806,0.040111962930383986,0.028946091257061986,0.11004617536175254,0.05166708769153489
5,Construccion,0.03033114837649828,0.039219657012054404,0.04359483951984184,0.03145944777792091,0.05637025780364286,0.026466045217483348
6,Comercio hoteles y restaurantes,0.03225687902496894,0.03821898822069114,0.04636268455941735,0.03345681437999939,0.05493200051016705,0.02579077808111332
7,Transporte comunicaciones y servicios de informacion,0.10543280125587656,0.15186559881009162,0.15153814797328036,0.10935483431148915,0.21827582413069746,0.1024813094069823
8,Intermediacion financiera,0.0646970171284276,0.0787724188093907,0.09298876666706282,0.06710370495948895,0.11321928579684133,0.0531568748155828
9,Servicios inmobiliarios y de vivienda,0.020530268115122482,0.02250656513939657,0.0295080731091468,0.021293981013091334,0.03234859700053783,0.015187786330880566
10,Servicios empresariales,0.2513944211039273,0.27420216934574204,0.361328206508036,0.26074613345360975,0.394109692789686,0.18503596322644883
11,Servicios personales,0.1067050034716949,0.1123521103938473,0.1533666791830766,0.11067436163945882,0.16148324361271008,0.07581698210795966
12,Administracion publica,0.0016811754480750697,0.0017850795776749933,0.0024163468179239523,0.0017437141039875932,0.002565687812176161,0.0012045999485674164
