moment,data,model,diff,W_diag,wdiff2
std(Y_1),0.398020268458774,0.06244807278063957,0.3355721956781344,6.312328957779776,0.710823148516731
std(Y_2),0.06537619570240252,0.022962591780720656,0.042413603921681864,233.97028818390126,0.4208923796483894
std(Y_3),0.03803042408464101,0.039267952958922714,-0.0012375288742817042,691.4131948614763,0.0010588838995667026
std(Y_4),0.063021741707141,0.07345383884274935,-0.010432097135608345,251.77882192138182,0.027400749451136835
std(Y_5),0.0737025779099151,0.11309313075281788,-0.03939055284290277,184.09188426079177,0.2856398492589245
std(Y_6),0.07525188341144529,0.026903259222636547,0.04834862418880874,176.58965255256743,0.4127941107198207
std(Y_7),0.05409199349101475,0.049671088722389393,0.004420904768625354,341.77006876489776,0.006679690581057752
std(Y_8),0.02670396965678287,0.04602081262176918,-0.01931684296498631,1402.3239402050299,0.5232637470166365
std(Y_9),0.019261766630448852,0.02388401336544252,-0.004622246734993667,2695.3040659002913,0.05758561576742901
std(Y_10),0.04860094117632613,0.08451096128443805,-0.03591002010811192,423.3607976379851,0.545936256395443
std(Y_11),0.15989910261644152,0.00851788810169059,0.15138121451475092,39.111812941412495,0.8962969480010806
std(Y_12),0.011432925264476358,0.0397297933977396,-0.02829686813326324,7650.419871959727,6.125788704887263
std(PH_1),0.12755778523020633,0.016248506359425662,0.11130927887078067,61.45908071434015,0.7614629871609658
std(PH_2),0.1667265432849996,0.025879726329502608,0.140846816955497,35.9741472335003,0.7136488677943588
std(PH_3),0.05278452945638629,0.02957881181723423,0.023205717639152055,358.91093573962274,0.19327545230312304
std(PH_4),0.12662819364124472,0.015779553940807094,0.11084863970043762,62.3647486931108,0.7663019179766472
std(PH_5),0.0350728297008308,0.018168316955979605,0.016904512744851198,812.9398013519037,0.23230775155824493
std(PH_6),0.025720034292135735,0.022997807908476216,0.0027222263836595186,1511.6697183809129,0.011202253366262103
std(PH_7),0.030682476821033478,0.016723226745134354,0.013959250075899123,1062.2314860812992,0.20698713129894553
std(PH_8),0.04696457772408393,0.01769686609499066,0.029267711629093272,453.37665760019553,0.38836196613628243
std(PH_9),0.01944523299201208,0.0191386728454259,0.00030656014658618155,2644.6834505105417,0.00024854503254766354
std(PH_10),0.017219798795357646,0.01849939221417229,-0.0012795934188146452,3372.437072217365,0.005521891262789003
std(PH_11),0.10068145458770679,0.018400054907950242,0.08228139967975655,98.65089672308807,0.6678891355564999
std(PH_12),0.028692272122975954,0.0186846358827138,0.010007636240262154,1214.703038282663,0.12165588994518063
std(L_1),0.1254752831369702,0.06557801738537597,0.059897265751594236,63.516071848168394,0.22787549591436077
std(L_2),0.04472775896515823,0.09719144295628389,-0.05246368399112566,499.8569354353323,1.3758252925963708
std(L_3),0.03017208486847912,0.11690842624576764,-0.08673634137728851,1098.4729294706035,8.264023760881033
std(L_4),0.02381368614358223,0.06928969182962529,-0.045476005686043056,1763.3834036815012,3.6467951897729343
std(L_5),0.045993141145947145,0.15854873721706086,-0.11255559607111372,472.7307550833694,5.988913524050699
std(L_6),0.032240952165519414,0.07835191337179184,-0.04611096120627243,962.0203999592617,2.0454677299349853
std(L_7),0.027658613082464697,0.02585822246160418,0.0018003906208605182,1307.1914603035746,0.0042371387493520506
std(L_8),0.04593886723146957,0.03940106951350922,0.006537797717960349,473.8484188902485,0.020253607725552167
std(L_9),0.028984767311945367,0.1026661411542339,-0.07368137384228854,1190.3107711070484,6.462131532233166
std(L_10),0.029087751484891424,0.11587524097509984,-0.08678748949020841,1181.8971837145505,8.902130349151758
std(L_11),0.02202235808998156,0.01729104432184265,0.0047313137681389075,2061.922604602955,0.04615681788196037
std(L_12),0.04721863218767159,0.0380425990867541,0.00917603310091749,448.5110994319742,0.03776444775345532
std(GDP),0.04145914509434682,0.06290635045610755,-0.021447205361760736,581.7807068631764,0.26760901254564323
std(pi),0.021788302660737544,0.014602111901356771,0.007186190759380772,2106.4599249815565,0.10878040819047854
"corr(GDP, pi)",-0.02336002507526018,-0.49670834234230105,0.47334831726704085,0.2,0.044811725891907836
std(TB/GDP),0.0346411221304825,0.05116130004307166,-0.016520177912589154,833.3282344346677,0.22742884031388505
std(Q),0.04347780999155187,0.027282606797017855,0.016195203194534012,529.0109718362467,0.1387514345887301
autocorr(Q),0.7164306143949916,0.10041645664398811,0.6160141577510034,2.0,0.7589468850993563
"corr(GDP, Q)",0.13653298292575478,0.6781194652375734,-0.5415864823118186,1.0,0.2933159178228898
rank corr: output (model vs data),1.0,0.013986013986013986,0.986013986013986,5.0,4.861117903075946
rank corr: prices (model vs data),1.0,-0.23076923076923078,1.2307692307692308,5.0,7.5739644970414215
rank corr: labor  (model vs data),1.0,0.18181818181818182,0.8181818181818181,5.0,3.347107438016528
