sector,name,Y_ss,Y_share,L_ss,PH_ss,GDP_ss,TB_ss,Q_ss,C_ss
1,Agropecuario-silvicola y Pesca,0.20325392631161415,0.057043762759749435,0.019826630931573712,0.8225597636150114,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
2,Mineria,0.40070784984898655,0.11245973909360472,0.021594020035689613,0.848465266254671,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
3,Industria manufacturera,0.6517957076414784,0.18292822377030235,0.0484258704843355,0.7501371507558289,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
4,Electricidad gas agua y gestion de desechos,0.14131230119873261,0.03965967856510797,0.011347492103491248,0.7468087156917039,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
5,Construccion,0.3112480719203019,0.08735261107247111,0.05678852437838932,0.8636157345273542,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
6,Comercio hoteles y restaurantes,0.3945607713604752,0.1107345449321566,0.0914423121664275,0.9177047884150248,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
7,Transporte comunicaciones y servicios de informacion,0.38268031371439715,0.10740026244257204,0.05698173275409513,0.8418055292695505,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
8,Intermediacion financiera,0.22703637503808063,0.0637183711553509,0.058231735396554275,0.9245140228034292,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
9,Servicios inmobiliarios y de vivienda,0.3004664922123978,0.08432673164079851,0.022541988798422483,0.9374218102396219,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
10,Servicios empresariales,0.2923006954954844,0.08203497876243193,0.08164000261036412,0.9781873636456234,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
11,Servicios personales,0.2503565901965415,0.07026325245307341,0.12257569695387878,0.9962328056804002,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
12,Administracion publica,0.007403610827895063,0.0020778433523811622,0.003963349686532076,0.9938474021511752,1.6415011290543562,0.08054802195820926,0.49743425150539233,1.2702088972651762
