sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.0020209120463931113,0.11267980737410566,3.2663681880724314e-17,0.06475109471944915,0.06475109471944918,6.475109471944917e8,0.05601319078759041,0.14704959300687098,0.010349458166806505,0.24369941623294622
2,Mineria,0.2362572471548207,0.10202911974240136,1.0,0.28508199832562453,1.2850819983256245,1.2850819983256245,1.069687824249735,0.20094154357177874,0.11800610651754574,0.5966755000289448
3,Industria manufacturera,0.11097481646687112,0.2823842734252001,1.5339467443902381e-16,0.14097528409466867,0.14097528409466883,1.4097528409466884e9,0.04859593418476837,0.22956400511320338,0.00814984320202483,1.1601733507859304
4,Electricidad gas agua y gestion de desechos,0.3136645962732919,0.33372064900528253,-1.4930056202081069e-16,0.25644399915342875,0.2564439991534286,2.5644399915342855e9,0.0676672904836993,0.5956555781271001,0.004915432981949032,0.16744239783588838
5,Construccion,0.009927748055816006,0.10854391091259312,4.5039041312538804e-17,0.06988710001082012,0.06988710001082016,6.988710001082015e8,0.08860041152842943,0.14021625718092798,-0.001545963512407518,0.10081409857214112
6,Comercio hoteles y restaurantes,3.638612960739366e-5,0.08441042852410598,-2.9104239365751723e-17,0.038374276741362026,0.038374276741362,3.8374276741362e8,0.10417585796837037,0.19226686872951387,0.008856576893143349,0.08290170213859395
7,Transporte comunicaciones y servicios de informacion,0.0,0.16349121658596374,1.1833506995439993e-17,0.03612548219054353,0.03612548219054355,3.6125482190543544e8,0.08635723871906797,0.31441060559459794,7.054107206580775e-5,0.33760372851896464
8,Intermediacion financiera,0.0,0.09682701332741028,3.085411270075435e-17,0.015247333218754211,0.015247333218754242,1.524733321875424e8,0.09838964726748567,0.24463852146637363,-0.0007197292612905758,0.17382446657548006
9,Servicios inmobiliarios y de vivienda,0.00019928258270227183,0.014781863793062849,1.7860587838671703e-17,0.05640116732624495,0.05640116732624497,5.640116732624497e8,0.03301131995146015,0.11713223864473621,-0.003363936599144582,0.1523281512383511
10,Servicios empresariales,0.000108038029386344,0.061669567542453944,1.4966882689479436e-16,0.019326156646225626,0.019326156646225775,1.9326156646225774e8,0.15117447982943802,0.5715899947756614,0.001535825519216995,0.4572006528585096
11,Servicios personales,0.0,0.04764892847446154,2.39377422849026e-17,0.023809617842851145,0.02380961784285117,2.3809617842851168e8,0.2015039191805568,0.0006209065892074449,-0.002101893364953904,0.13592993198991044
12,Administracion publica,0.0009828009828009828,0.05912259364749133,-5.2456123285795307e-17,0.02116859733115003,0.021168597331149976,2.1168597331149974e8,0.2142026740418749,0.09466591318114884,-0.0027368118201692854,0.0021562986722493023
