c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.2994e-320,0.0,0.0,0.0,-7.208583199830545e-10,-4.5564427058112683e-10,2.3406570721857036e-9,2.440080365960096e-8,1.9677650470654254e-10,3.67881519255487e-10,-5.016535692047407e-10,1.3740996676764984e-11,2.098154241902905e-10,-1.3088836511139005e-9,-2.360339249941761e-9,-8.824380432421071e-12,2.2817187370831565e-12,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-2.9584480865e-314,-0.0,-0.0,-0.0,-0.0003282460505411782,-0.0014223036750033043,-0.018804940180336127,-0.012367167695292678,-0.0009066874443528704,-0.0029319403489296543,-0.0015013390810270117,-0.00014689763721302917,-0.001458454003219486,-0.0045004286264057345,-0.015113253788613733,-0.00015195310619364304,-8.278032133757561e-6,-0.0
-1.078863857e-314,-0.0,-0.0,-0.0,-0.0006961839440066093,0.0010591545492427596,0.004196584942216522,0.0156568821994693,0.00044002144045091204,0.0004099419650844135,0.0011621789394849868,3.510686247903463e-5,0.00025709396408011426,0.0009799200514295598,0.0016891057333950341,2.155597469680387e-5,8.959824721085692e-7,-0.0
-6.610383833e-315,-0.0,-0.0,-0.0,-0.00037112860494715013,0.00047080675707825923,0.0011264509953172474,0.007936543097195301,0.0003164655845744449,0.00036915789463150413,0.0006328821834106906,2.282751534120478e-5,0.00015659964318478006,0.0006653813508471703,0.0008702818674253238,1.2668296639928776e-5,5.373226739373353e-7,-0.0
-9.589215704e-315,-0.0,-0.0,-0.0,-0.0003811202682036013,0.0004844836120078768,0.0011481277267274788,0.007421402687860103,0.00035593596480761584,0.00037688642315319835,0.0007674015189990633,2.393000078414912e-5,0.00017266251223853617,0.000719185073158444,0.0009244241845885574,1.4124146115697228e-5,5.777043188311872e-7,-0.0
1.884025509e-314,-0.0,-0.0,-0.0,-0.00018302468818107392,0.0003610962923736004,0.0006017087156799379,0.00524748667470756,0.00023652752061305274,0.00018289791920043935,4.320407398200462e-5,8.189572887383656e-6,5.215797976892197e-5,0.000218193632873636,0.00038199314179357874,4.2279753340233405e-6,2.2366900713200176e-7,-0.0
-2.5970970254e-314,-0.0,-0.0,-0.0,-0.00019809559301142785,0.00012338739251680552,0.0005464190702678387,0.002173914241813711,0.00011940845992332339,0.00019398850920575086,0.0007241972043308505,1.574042909338684e-5,0.0001205045219500444,0.0005009914390676452,0.0005424313498249633,9.896170959199444e-6,3.540353597120978e-7,-0.0
-2.206834572e-314,-0.0,-0.0,-0.0,0.00019870000920740757,-0.00957687050403924,-0.10556460889897051,-0.12556300971760395,-0.0062156603239433925,-0.01459933757438334,-0.007559898861887104,-0.0006446076780549633,-0.00521435970171298,-0.02995196550115577,-0.038156555458960045,-0.0002999250276893318,-1.4266457703896892e-5,-0.0
1.862562031e-314,-0.0,-0.0,-0.0,-0.00017906882987892413,0.00032105663413098477,0.0005861492832856289,0.005341999691641891,0.0001892540953142648,0.0001807683574974658,3.678945244767315e-5,7.98396651469195e-6,5.029460937088905e-5,0.00021202078211441684,0.0003670260351405306,4.07507983737137e-6,2.169133992833266e-7,-0.0
-3.2035091137e-314,-0.0,-0.0,-0.0,-0.00019878394008739162,0.00012294718552586037,0.0005446658546564546,0.002169126493538708,0.00011918750722892266,0.00019408089658258605,0.0007086267507128517,1.6397461841554545e-5,0.00011864961208318795,0.0005064429392564306,0.0005389236510523478,9.589415582367004e-6,3.460789090886546e-7,-0.0
-9.16453635e-315,-0.0,-0.0,-0.0,-1.398991076269293e-5,-0.0002288384714688039,-6.951679762646503e-5,-0.003673354624376599,-8.408567226260373e-5,6.955507262056686e-6,0.0007291967121653432,8.818685325590908e-6,7.225334418782053e-5,0.00031140552073366767,0.0001716895395429937,5.828091197100878e-6,1.314593218511492e-7,-0.0
8.14971253e-316,0.0,0.0,0.0,1.3474267348682143e-5,0.0002204043133987957,6.695468398782208e-5,0.003537959979213167,8.098652382164558e-5,-6.699137650037769e-6,-0.0007023210895021976,-8.493653679761605e-6,-6.959033966208304e-5,-0.00029992797366191625,-0.00016536090165027975,-5.613283826152759e-6,-1.266139943939654e-7,0.0
-1.367279502e-314,-0.0,-0.0,-0.0,0.0003267528233788764,-0.002793203947542566,-0.026608103562540286,-0.03206760564462083,-0.001813682076412491,-0.004540381329446566,-0.003223593471166329,-0.0002362548208567158,-0.0022038196291686587,-0.00716923544812544,-0.02131361711648944,-0.00022222634332475478,-1.1796952024461316e-5,-0.0
7.421741934e-315,0.0,0.0,0.0,3.434970955731975e-6,-0.0003129173352666461,-0.00045148502228225076,-0.0048961020554795665,-0.00012071952369184416,-8.331676171602989e-5,-0.0004444591570136739,-8.052655018919582e-6,-5.7687333974127486e-5,-0.00022897159992143508,-0.0003102815542572819,-4.843126330749417e-6,-2.013695755194756e-7,0.0
