c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80
0.09999999999999996,-2.4420005401738987e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1549903086648737e-17,2.1941587909862035e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.341665406528444e-18,-1.0686812914914989e-17,1.8020363465955276e-17,6.5651355807702e-18,1.6027778946761635e-17,1.3704052095191401e-17,1.8085584157248775e-17,2.001875164964047e-17,3.3099814840396632e-18,-1.9864931916872253e-17,1.3540880409046505e-17,3.968891393002589e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8000000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6816178156680106e-18,2.2298669705729575e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4724022434704042e-19,5.270908442339767e-19,4.850646612663845e-19,3.4111923598715473e-18,1.9093749794427084e-18,2.973878004899665e-18,4.497441092113338e-19,3.5703432059934054e-18,2.405987285578168e-18,-2.3578193542488863e-18,-3.2671576581615214e-18,1.9675495987052103e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.05241429487740966,0.2688939478006734,-1.974778172008993e-15,-3.422158335589573e-14,3.583988312514633e-16,-1.1247054067388649,-0.08307401298587097,0.11568994063030977,-1.2137555426667366,-4.1167497933505964e-11,-0.12625027036137765,-0.042223393530729215,9.263000680516389e-14,-0.4265669919894115,-0.01470101462487301,-0.05584086813882494,-0.010255966426301676,-0.29749745442681963,-0.048686439650062086,-0.008842065481925345,-0.07092220155109688,-0.15098365986474735,-0.10395001531426377,-0.18424235040707476,-0.04269936872861163,-0.2848891791089487,-0.002948347063197408,4.8299571139240743e-17,-3.6347456242845163e-16,-1.6844061811918347e-15,-2.103600297181911e-17,-9.086772945056269e-16,-1.0304251473226435e-15,-5.562120140617881e-16,1.9529407473327465e-15,1.2541233946411956e-16,-5.268675695859786e-16,8.643901826041837e-16,6.284187080506874e-16,-0.021647033924345985,-0.08699415391381866,-0.055656991085573745,-0.011366852645371685,-0.013105188368729164,-0.008331914504639718,-0.042469977367744334,-0.029106272055076123,-0.02134213528117598,-0.09179074916178721,-0.027855805268089485,-0.00045278422295142584,-0.0016669335032549833,1.2249834298676534e-15,-0.0005574925827907808,4.73235994195394e-16,3.4418294035149396e-15,3.239629343163655e-15,5.1586994974896e-15,1.3891681666245344e-16,8.49233555358805e-15,3.100330736581509e-15,-2.9660946509630406e-15,2.1793588271698276e-15,4.263360582625018e-15,-1.4479296182352184e-14,2.6025914336767206e-15,-1.505580825110164e-14,-9.273930410280914e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0021161684248194104,0.35448532303498714,-1.3192089838894523e-14,7.89837883124687e-14,3.911481433914496e-15,-1.4516870000760829,0.1994467918853765,0.26417429164222056,-1.6277254814744744,3.2641421893837996e-12,-0.04157716747461751,-0.013905151245576917,1.2567801817297497e-13,-0.30644106540635396,-0.03128149637667881,-0.068923839583371,-0.18875135096572826,-0.43707393813943574,-0.06338156787800359,-0.016142813872220343,-0.061092348287742154,-0.1808285974605559,-0.10245418174478083,-0.17096878631197032,-0.09723026610016217,-0.24304322561802633,-0.002532610340269384,-5.703280913952161e-15,-4.77940536946038e-14,1.4172809731243198e-14,-7.795592255179404e-15,2.8305797597545643e-14,1.4733290389369536e-14,5.326807870022284e-14,6.10286921617587e-14,-1.0503639703158817e-14,6.243540095778644e-14,-1.308916805664824e-14,4.498405099777829e-14,0.016029510972279698,0.019429148391819973,0.07014779792171727,0.00549538982259945,0.0018193198656561438,0.0063921245190868,0.010129108643372908,0.005101600975558007,0.0046268358101621,0.010307216777718287,0.00392299515044589,4.8279989111122356e-5,0.000561818532626077,2.2949556108900876e-14,0.00018789571643746484,-4.8420149665835575e-14,3.2556129830413085e-14,2.238252710819409e-14,3.76733039354472e-14,-8.617035054013874e-15,6.105912906388185e-14,-2.5756211869152136e-14,-6.230804355668483e-16,6.857507399145655e-15,3.7994267232326945e-16,-8.589943182447035e-14,-2.0219749940940592e-14,-8.476975941300891e-14,1.975996674285346e-14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0010757240529339447,0.09153906536808565,-6.942813867838278e-15,-5.037961917775143e-15,-1.1070114089874359e-16,-0.39665217967818595,-0.09338848062868997,-0.0020745843932766976,-0.4003568555268899,-4.587550856749103e-11,-0.09438301717072761,-0.03156564548503625,2.5518860637191802e-14,-0.27988292591371894,-0.01665685181045494,-0.019689124490991278,0.05217548316109863,-0.12590302663472636,-0.019868859015302033,-0.0033575824975197277,-0.030680397183683067,-0.05670349096996387,-0.04180399309568758,-0.07922985997819022,-0.003859941080760951,-0.11655884680665857,-0.001173266987588208,1.619352006231635e-16,-2.246198719687409e-16,-3.253303564169035e-16,1.5386855720326905e-17,-1.3700885642487019e-17,-9.244479585986308e-16,-7.311875745264751e-17,1.161674280501833e-17,1.5376363266397824e-16,-1.4642684075496457e-15,3.0398392430040674e-16,-1.4624682929670357e-16,0.007117545852820134,0.005198582009714249,0.03553098899589586,0.003955886598048871,0.0016482741422600723,0.003484106216205988,0.006584477550874513,0.003115790413375952,0.0031473488211012693,0.0052708477457899675,0.0023158396219167617,2.9311325204334386e-5,-0.0013841342877664892,-3.0279744379677036e-15,-0.0004629126461480218,9.171601495566374e-16,2.3014251701693705e-16,1.4968875457655507e-16,-3.6281361307370083e-16,-1.726992429702011e-15,5.352864677726775e-16,-4.74360801955483e-16,-1.4357611901940376e-15,2.493948739419653e-16,3.836027699109044e-15,-6.193913971448077e-16,1.0092213345829133e-15,4.484211184681902e-15,-3.9056879154520405e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0011117426394912826,0.11427652936486607,-2.1170099800184654e-14,-1.6480400934799603e-15,-1.0981645918321919e-14,-0.48747713878414767,0.2449992078693945,0.2547915853956001,-0.5076292742649312,-3.5587400080451116e-11,-0.09243743563246991,-0.030914961294755284,-2.431638745315209e-14,-0.2624162176274448,-0.017130932891760976,-0.020569408322149065,0.05129944753315803,-0.09911671753719967,-0.032686472858195335,-0.005029953929274411,-0.04126312996835794,-0.06770629460815192,-0.05717905785069428,-0.10021952209177241,-0.012480114463603186,-0.15919924155111392,-0.001607662730844046,5.866928996612396e-16,1.5810684144734312e-16,-5.2864026267081785e-15,-6.170223370645747e-16,-2.292055344675716e-15,-1.9479433207489263e-16,1.8855810164071072e-16,-2.6127297706605055e-15,8.805716887887989e-17,-1.2522381911860478e-14,-4.0191390319641947e-16,2.945287927956824e-15,0.007342939775721675,0.005305996574399032,0.03327183497743659,0.004454580200569428,0.0016840723667535821,0.004237386991510699,0.006910506430612995,0.0034411663525610384,0.0034063884796620494,0.005608019308633655,0.0025860714747100192,3.156117936917401e-5,-0.0013320198043014844,-5.207852999124072e-15,-0.0004454833738105529,2.2601637254607884e-15,9.188337334511985e-16,1.0204390733535795e-15,1.0192684588690093e-15,3.662404853321158e-15,6.809216235206432e-16,1.7217087319122323e-15,2.50733401178071e-16,-8.334213512567785e-16,-2.9311251460789164e-16,-1.513735132634092e-15,-1.0180122396101555e-15,7.950933181406463e-15,-3.619152978760737e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0005569286091651228,0.007140545563206257,-1.830260440066721e-15,9.575084198438357e-15,-2.295294457662234e-15,-0.04568894693623798,0.25422314751027686,-0.007641371003559565,-0.01588268221659843,-4.288484102544992e-11,-0.053802132251503064,-0.017993692974625553,1.0004584552781268e-14,-0.18138673999303942,-0.008238589618249798,-0.023484340100022365,0.028224903553567705,-0.11878598143946464,-0.034059928277125326,0.0018962686819155698,0.007050131468146502,0.019597409136817505,0.009893461124111026,0.016871829822952638,0.013870460723276608,0.016456126146550308,0.00012934594236988525,4.0561243661750377e-16,2.6382698813846728e-16,-9.923623293816226e-16,-6.09420292035319e-17,-1.7480769997104913e-15,3.0674874884940415e-16,1.0575434464040276e-15,-1.598148614254393e-15,-1.3681943382455136e-17,-2.817410388235507e-15,4.055993749216779e-16,1.0925781068375192e-15,0.005486742874180558,0.0027854171482660966,0.023556964600641883,0.002963344040618251,0.0008182679648831377,0.00024131197522313973,0.00236785947470311,0.0010418120536420604,0.0010350685276063953,0.00232049606935642,0.0007753451188737881,1.2247562960032849e-5,-0.0008585476619525454,-5.256457531546485e-15,-0.00028713440130182915,1.327901377429453e-15,9.959179618973532e-17,-4.779829464883335e-16,1.1362171683880725e-15,2.1248749083648417e-15,-1.665619453642735e-15,-5.852170622151381e-16,-8.56801878155223e-16,-1.1649693432337712e-15,-1.6480167839331624e-15,8.148743785688044e-16,1.0335035689674074e-15,4.018604174515804e-15,-1.334098421619497e-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.000554814030326205,0.10713598380165922,-1.9339839359129334e-14,-1.1223124294584461e-14,-8.686351459466184e-15,-0.44178819184790735,-0.00922393964088303,0.2624329563991596,-0.49174659204832954,7.297440944998663e-12,-0.03863530338096691,-0.01292126832012976,-3.43176746295793e-14,-0.08102947763440559,-0.008892343273511136,0.0029149317778728026,0.02307454397959207,0.019669263902263607,0.0013734554189293714,-0.00692622261118882,-0.04831326143650529,-0.08730370374497125,-0.06707251897480375,-0.11709135191472445,-0.026350575186879506,-0.17565536769765525,-0.0017370086732129255,1.810804630436588e-16,-1.0572014669128401e-16,-4.29404029732645e-15,-5.560803078612138e-16,-5.439783449655356e-16,-5.015430809246743e-16,-8.689853447633539e-16,-1.0145811564058444e-15,1.0173911226125253e-16,-9.70497152362395e-15,-8.07513278117831e-16,1.852709821119178e-15,0.0018561969015411257,0.0025205794261327474,0.009714870376794504,0.0014912361599511202,0.0008658044018701279,0.003996075016287614,0.0045426469559099745,0.0023993542989189385,0.00237131995205525,0.003287523239277471,0.001810726355836369,1.931361640964237e-5,-0.0004734721423488783,4.8604532422382214e-17,-0.000158348972508695,9.32262348031236e-16,8.192419372623453e-16,1.4984220198425205e-15,-1.1694870951884373e-16,1.5375299449585027e-15,2.3465410771637917e-15,2.306925794129647e-15,1.1075352793359571e-15,3.315479919777658e-16,1.3549042693263668e-15,-2.3286095112040257e-15,-2.0515158085780165e-15,3.9323290068904e-15,9.721831237434735e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
